transaction_id,transaction_timestamp,store_id,product_id,quantity,unit_price,discount,total_amount,currency
TXN4082,2025-01-04 10:22:00,S002,P1005,1,1299.0,200,0,INR
TXN4083,2025-01-04 10:23:00,S003,P1001,2,299.99,50,0,INR
TXN4084,2025-01-04 10:24:00,S002,P1002,1,299.99,0,0,INR
TXN4085,2025-01-04 10:25:00,S001,P1002,3,799.5,100,0,INR
TXN4086,2025-01-04 10:26:00,S004,P1001,5,299.99,100,0,INR
TXN4087,2025-01-04 10:27:00,S004,P1003,3,299.99,100,0,INR
TXN4088,2025-01-04 10:28:00,S001,P1005,2,799.5,50,0,INR
TXN4089,2025-01-04 10:29:00,S004,P1002,3,499.99,200,0,INR
TXN4090,2025-01-04 10:30:00,S004,P1003,2,299.99,50,0,INR
TXN4091,2025-01-04 10:31:00,S003,P1003,1,299.99,50,0,INR
TXN4092,2025-01-04 10:32:00,S002,P1005,1,499.99,200,0,INR
TXN4093,2025-01-04 10:33:00,S003,P1002,1,799.5,100,0,INR
TXN4094,2025-01-04 10:34:00,S002,P1001,5,1599.0,0,0,INR
TXN4095,2025-01-04 10:35:00,S001,P1005,1,1299.0,50,0,INR
TXN4096,2025-01-04 10:36:00,S002,P1004,5,1599.0,50,0,INR
TXN4097,2025-01-04 10:37:00,S001,P1001,1,299.99,0,0,INR
TXN4098,2025-01-04 10:38:00,S003,P1002,1,799.5,0,0,INR
TXN4099,2025-01-04 10:39:00,S002,P1001,3,1299.0,50,0,INR
TXN4100,2025-01-04 10:40:00,S003,P1001,2,1299.0,100,0,INR
TXN4101,2025-01-04 10:41:00,S004,P1004,2,499.99,0,0,INR
TXN4102,2025-01-04 10:42:00,S004,P1001,2,1299.0,100,0,INR
TXN4103,2025-01-04 10:43:00,S003,P1002,3,499.99,0,0,INR
TXN4104,2025-01-04 10:44:00,S003,P1003,2,499.99,0,0,INR
TXN4105,2025-01-04 10:45:00,S004,P1005,3,299.99,0,0,INR
TXN4106,2025-01-04 10:46:00,S004,P1004,4,799.5,200,0,INR
TXN4107,2025-01-04 10:47:00,S001,P1002,1,1299.0,50,0,INR
TXN4108,2025-01-04 10:48:00,S002,P1002,1,499.99,200,0,INR
TXN4109,2025-01-04 10:49:00,S001,P1001,5,1599.0,100,0,INR
TXN4110,2025-01-04 10:50:00,S003,P1005,3,799.5,50,0,INR
TXN4111,2025-01-04 10:51:00,S004,P1004,1,499.99,200,0,INR
TXN4112,2025-01-04 10:52:00,S002,P1002,5,1599.0,200,0,INR
TXN4113,2025-01-04 10:53:00,S003,P1003,1,299.99,200,0,INR
TXN4114,2025-01-04 10:54:00,S004,P1001,3,499.99,0,0,INR
TXN4115,2025-01-04 10:55:00,S004,P1002,5,799.5,50,0,INR
TXN4116,2025-01-04 10:56:00,S003,P1005,3,1299.0,100,0,INR
TXN4117,2025-01-04 10:57:00,S003,P1005,3,499.99,200,0,INR
TXN4118,2025-01-04 10:58:00,S004,P1005,1,499.99,200,0,INR
TXN4119,2025-01-04 10:59:00,S001,P1004,5,799.5,100,0,INR
TXN4120,2025-01-04 11:00:00,S002,P1005,1,299.99,100,0,INR
